Pid,Name,Family,Type,Status,Laddr.IP,Laddr.Port,Raddr.IP,Raddr.Port,Timestamp
972,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,135,0.0.0.0,0,2026-01-29T04:31:48Z
4,System,IPv4,TCP,LISTEN,192.168.159.141,139,0.0.0.0,0,2026-01-29T04:31:48Z
1188,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,5040,0.0.0.0,0,2026-01-29T04:32:08Z
1844,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8000,0.0.0.0,0,2026-01-29T04:58:48Z
1844,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,50341,2026-01-29T04:58:50Z
1844,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,50344,2026-01-29T04:58:54Z
1844,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,50346,2026-01-29T04:58:54Z
1844,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,50340,2026-01-29T04:58:50Z
1844,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8001,0.0.0.0,0,2026-01-29T04:58:48Z
1844,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8001,127.0.0.1,50330,2026-01-29T04:58:48Z
1844,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8003,0.0.0.0,0,2026-01-29T04:58:48Z
1844,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8889,0.0.0.0,0,2026-01-29T04:58:48Z
1844,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8889,127.0.0.1,50349,2026-01-29T04:58:57Z
732,lsass.exe,IPv4,TCP,LISTEN,0.0.0.0,49664,0.0.0.0,0,2026-01-29T04:31:48Z
556,wininit.exe,IPv4,TCP,LISTEN,0.0.0.0,49665,0.0.0.0,0,2026-01-29T04:31:48Z
516,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49666,0.0.0.0,0,2026-01-29T04:31:48Z
1236,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49667,0.0.0.0,0,2026-01-29T04:31:48Z
2064,spoolsv.exe,IPv4,TCP,LISTEN,0.0.0.0,49668,0.0.0.0,0,2026-01-29T04:31:49Z
708,services.exe,IPv4,TCP,LISTEN,0.0.0.0,49669,0.0.0.0,0,2026-01-29T04:31:51Z
1236,svchost.exe,IPv4,TCP,ESTAB,192.168.159.141,49680,4.213.25.241,443,2026-01-29T04:32:13Z
1816,msedgewebview2.exe,IPv4,TCP,CLOSE_WAIT,192.168.159.141,50233,13.107.246.58,443,2026-01-29T04:55:06Z
5864,SearchApp.exe,IPv4,TCP,CLOSE_WAIT,192.168.159.141,50307,104.86.188.16,443,2026-01-29T04:58:24Z
3264,svchost.exe,IPv4,TCP,ESTAB,192.168.159.141,50308,14.102.231.203,80,2026-01-29T04:58:25Z
1848,chrome.exe,IPv4,TCP,ESTAB,192.168.159.141,50324,142.251.12.188,5228,2026-01-29T04:58:43Z
1848,chrome.exe,IPv4,TCP,ESTAB,192.168.159.141,50329,185.199.110.153,443,2026-01-29T04:58:46Z
1844,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,50330,127.0.0.1,8001,2026-01-29T04:58:48Z
1848,chrome.exe,IPv4,TCP,ESTAB,192.168.159.141,50331,216.239.38.223,443,2026-01-29T04:58:49Z
1844,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,50340,127.0.0.1,8000,2026-01-29T04:58:50Z
1844,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,50341,127.0.0.1,8000,2026-01-29T04:58:50Z
1848,chrome.exe,IPv4,TCP,ESTAB,192.168.159.141,50342,142.251.222.131,80,2026-01-29T04:58:52Z
1844,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,50344,127.0.0.1,8000,2026-01-29T04:58:54Z
1844,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,50346,127.0.0.1,8000,2026-01-29T04:58:54Z
1848,chrome.exe,IPv4,TCP,ESTAB,127.0.0.1,50349,127.0.0.1,8889,2026-01-29T04:58:57Z
1848,chrome.exe,IPv4,TCP,ESTAB,192.168.159.141,50350,216.239.32.223,443,2026-01-29T04:59:00Z
1848,chrome.exe,IPv4,TCP,ESTAB,192.168.159.141,50352,142.251.221.133,443,2026-01-29T04:59:28Z
1848,chrome.exe,IPv4,TCP,ESTAB,192.168.159.141,50353,142.250.205.35,443,2026-01-29T04:59:32Z
1848,chrome.exe,IPv4,TCP,ESTAB,192.168.159.141,50354,142.251.221.206,443,2026-01-29T04:59:35Z
1848,chrome.exe,IPv4,TCP,ESTAB,192.168.159.141,50355,142.250.183.163,443,2026-01-29T04:59:37Z
1848,chrome.exe,IPv4,TCP,ESTAB,192.168.159.141,50356,142.250.77.142,443,2026-01-29T04:59:39Z
1848,chrome.exe,IPv4,TCP,ESTAB,192.168.159.141,50357,142.251.43.67,443,2026-01-29T04:59:39Z
1848,chrome.exe,IPv4,TCP,ESTAB,192.168.159.141,50358,142.251.221.133,443,2026-01-29T05:00:31Z
1848,chrome.exe,IPv4,TCP,ESTAB,192.168.159.141,50359,34.106.8.177,443,2026-01-29T05:00:36Z
3264,svchost.exe,IPv4,TCP,ESTAB,192.168.159.141,50361,14.102.231.203,80,2026-01-29T05:00:54Z
2452,MpDefenderCoreService.exe,IPv4,TCP,ESTAB,192.168.159.141,50362,52.168.117.171,443,2026-01-29T05:01:57Z
1848,chrome.exe,IPv4,TCP,ESTAB,192.168.159.141,50363,192.178.168.94,443,2026-01-29T05:02:34Z
4,System,IPv4,TCP,LISTEN,0.0.0.0,445,0.0.0.0,0,2026-01-29T04:31:49Z
4,System,IPv4,TCP,LISTEN,0.0.0.0,5357,0.0.0.0,0,2026-01-29T04:31:49Z
3264,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,7680,0.0.0.0,0,2026-01-29T04:33:44Z
972,svchost.exe,IPv6,TCP,LISTEN,::,135,::,0,2026-01-29T04:31:48Z
4,System,IPv6,TCP,LISTEN,::,445,::,0,2026-01-29T04:31:49Z
4,System,IPv6,TCP,LISTEN,::,5357,::,0,2026-01-29T04:31:49Z
3264,svchost.exe,IPv6,TCP,LISTEN,::,7680,::,0,2026-01-29T04:33:44Z
7468,OneDrive.Sync.Service.exe,IPv6,TCP,LISTEN,::1,42050,::,0,2026-01-29T04:36:05Z
732,lsass.exe,IPv6,TCP,LISTEN,::,49664,::,0,2026-01-29T04:31:48Z
556,wininit.exe,IPv6,TCP,LISTEN,::,49665,::,0,2026-01-29T04:31:48Z
516,svchost.exe,IPv6,TCP,LISTEN,::,49666,::,0,2026-01-29T04:31:48Z
1236,svchost.exe,IPv6,TCP,LISTEN,::,49667,::,0,2026-01-29T04:31:48Z
2064,spoolsv.exe,IPv6,TCP,LISTEN,::,49668,::,0,2026-01-29T04:31:49Z
708,services.exe,IPv6,TCP,LISTEN,::,49669,::,0,2026-01-29T04:31:51Z
4,System,IPv4,UDP,,192.168.159.141,137,,0,2026-01-29T04:31:48Z
4,System,IPv4,UDP,,192.168.159.141,138,,0,2026-01-29T04:31:48Z
1944,svchost.exe,IPv4,UDP,,127.0.0.1,1900,,0,2026-01-29T04:31:52Z
1944,svchost.exe,IPv4,UDP,,192.168.159.141,1900,,0,2026-01-29T04:31:52Z
3016,dasHost.exe,IPv4,UDP,,0.0.0.0,3702,,0,2026-01-29T04:31:52Z
3016,dasHost.exe,IPv4,UDP,,0.0.0.0,3702,,0,2026-01-29T04:31:52Z
1944,svchost.exe,IPv4,UDP,,0.0.0.0,3702,,0,2026-01-29T04:31:49Z
1944,svchost.exe,IPv4,UDP,,0.0.0.0,3702,,0,2026-01-29T04:31:49Z
1188,svchost.exe,IPv4,UDP,,0.0.0.0,5050,,0,2026-01-29T04:32:08Z
1440,svchost.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-01-29T04:31:48Z
8556,chrome.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-01-29T04:58:41Z
1440,svchost.exe,IPv4,UDP,,0.0.0.0,5355,,0,2026-01-29T05:01:48Z
1944,svchost.exe,IPv4,UDP,,0.0.0.0,50106,,0,2026-01-29T04:31:49Z
1236,svchost.exe,IPv4,UDP,,127.0.0.1,50108,,0,2026-01-29T04:31:49Z
1848,chrome.exe,IPv4,UDP,,0.0.0.0,56849,,0,2026-01-29T04:58:45Z
1816,msedgewebview2.exe,IPv4,UDP,,0.0.0.0,57023,,0,2026-01-29T04:55:03Z
1944,svchost.exe,IPv4,UDP,,192.168.159.141,60438,,0,2026-01-29T04:31:52Z
1944,svchost.exe,IPv4,UDP,,127.0.0.1,60439,,0,2026-01-29T04:31:52Z
3016,dasHost.exe,IPv4,UDP,,0.0.0.0,60440,,0,2026-01-29T04:31:52Z
1816,msedgewebview2.exe,IPv4,UDP,,0.0.0.0,61080,,0,2026-01-29T04:54:58Z
1816,msedgewebview2.exe,IPv4,UDP,,0.0.0.0,65191,,0,2026-01-29T04:55:01Z
8556,chrome.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-01-29T04:58:41Z
1944,svchost.exe,IPv6,UDP,,::1,1900,,0,2026-01-29T04:31:52Z
1944,svchost.exe,IPv6,UDP,,fe80::e46d:10ea:3641:3485,1900,,0,2026-01-29T04:31:52Z
1944,svchost.exe,IPv6,UDP,,::,3702,,0,2026-01-29T04:31:49Z
3016,dasHost.exe,IPv6,UDP,,::,3702,,0,2026-01-29T04:31:52Z
3016,dasHost.exe,IPv6,UDP,,::,3702,,0,2026-01-29T04:31:52Z
1944,svchost.exe,IPv6,UDP,,::,3702,,0,2026-01-29T04:31:49Z
8556,chrome.exe,IPv6,UDP,,::,5353,,0,2026-01-29T04:58:41Z
1440,svchost.exe,IPv6,UDP,,::,5353,,0,2026-01-29T04:31:48Z
1440,svchost.exe,IPv6,UDP,,::,5355,,0,2026-01-29T05:01:48Z
1944,svchost.exe,IPv6,UDP,,::,50107,,0,2026-01-29T04:31:49Z
1944,svchost.exe,IPv6,UDP,,fe80::e46d:10ea:3641:3485,60436,,0,2026-01-29T04:31:52Z
1944,svchost.exe,IPv6,UDP,,::1,60437,,0,2026-01-29T04:31:52Z
3016,dasHost.exe,IPv6,UDP,,::,60441,,0,2026-01-29T04:31:52Z
